"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IR_4347",1801.97250535167,7.13390527643259,0.250905008484737,28.4326937892376,7.97685552774869e-178,4.84992816087121e-174
"IR_6954",536.559908156406,5.14611260630881,0.282903030884741,18.1903763639967,6.15162983151369e-74,1.87009546878016e-70
"IR_9195",470.879429234228,3.71583647791627,0.221263267219447,16.793734109652,2.71229774449908e-63,5.49692342885146e-60
"IR_9209",162.953804069413,3.57832618026931,0.336188599978766,10.6438058295116,1.86358420664926e-26,2.83264799410688e-23
"IR_4092",97.3326470383305,5.4113861479357,0.53110545493375,10.1889108794989,2.22239954115556e-24,2.70243784204517e-21
"IR_9372",421.096890458083,1.83809708163483,0.18664773281891,9.8479475420052,6.99579558166736e-23,7.08907285608959e-20
"IR_5670",442.906579495586,2.21122870816895,0.229963120295558,9.61557968654709,6.87211588399314e-22,5.96892351066833e-19
"IR_9194",90.9455133637034,3.68760459043189,0.386173905894058,9.54907758952396,1.3085615352414e-21,9.94506766783464e-19
"IR_3865",105.827611449334,3.70206077420277,0.390382025072723,9.48317426631805,2.46663067355921e-21,1.66634605502667e-18
"IR_284",211.679642395119,3.38367144941564,0.396208163938596,8.5401356089675,1.34064408138232e-17,8.15111601480451e-15
"IR_6640",193.884627507176,1.90415884790956,0.232558672201796,8.18786429197224,2.6590240180423e-16,1.46971509360883e-13
"IR_3350",356.271468144623,1.59542577167019,0.197012667697693,8.09808724644191,5.58300251170377e-16,2.82872127259658e-13
"IR_6575",158.998410946598,-3.04371542426385,0.378681285866426,-8.03767056325429,9.15623983895365e-16,4.28230294006448e-13
"IR_7303",328.737521859411,1.55961864080412,0.198436097941638,7.85955104430049,3.8551270166674e-15,1.67422659009556e-12
"IR_7278",129.749659192574,2.56309076775931,0.328990116743938,7.79078348348755,6.65949470354313e-15,2.69931518650282e-12
"IR_8042",209.491606322882,1.92773148062416,0.250254465665895,7.70308523963682,1.32819696853244e-14,5.04714848042327e-12
"IR_7522",402.368753378408,2.10023837817574,0.277639973777295,7.56461092256268,3.89027250897883e-14,1.38416198130889e-11
"IR_8019",464.314467490628,-1.37167273527895,0.18148979585273,-7.55785045012667,4.09784797098027e-14,1.38416198130889e-11
"IR_131",132.354749715424,1.99557881298415,0.265949887915755,7.50358959961771,6.20935053013001e-14,1.9869921696416e-11
"IR_46",197.962524773901,2.40428580377448,0.326810679226263,7.35681529583649,1.88349676897179e-13,5.72583017767424e-11
"IR_7810",193.328843118566,1.70419053802857,0.232941296186938,7.31596572151352,2.5553689345649e-13,7.3984014867403e-11
"IR_3685",232.22797404508,1.59145554554035,0.224557667870945,7.08706837147496,1.36982717656588e-12,3.7857041970548e-10
"IR_9211",935.220585013251,1.3778289281651,0.196951127801024,6.99579100434041,2.63766485253689e-12,6.97260969714101e-10
"IR_3635",92.3442042648107,2.25809433288155,0.326015136017413,6.92634814587547,4.31842958547829e-12,1.0940021616545e-09
"IR_3351",518.986546303473,1.60982547377627,0.234497134278501,6.8650112877898,6.64859957711469e-12,1.61693941715429e-09
"IR_6572",47.8261282673892,6.38839528819909,0.937939501906614,6.8110952521063,9.6858470272989e-12,2.26499807407605e-09
"IR_6858",416.358029764521,1.62609449558057,0.242735685486517,6.69903352826499,2.09802457570939e-11,4.72444052604188e-09
"IR_665",89.8243988285932,-2.73150105022587,0.408773671034281,-6.68218440614,2.35406534093655e-11,5.11168474031937e-09
"IR_2961",169.130811317472,1.56605105935057,0.246288892542764,6.35859393893965,2.03608853739631e-10,4.26876493357571e-08
"IR_4084",120.871247089298,1.78089695905874,0.290051940163892,6.13992431166794,8.25608092036122e-10,1.67323239985987e-07
"IR_6315",157.795000163721,1.4833679870171,0.244640607563155,6.06345774641752,1.33225793842588e-09,2.61294460181591e-07
"IR_3352",242.198581574099,1.52881746704102,0.256547968729369,5.95918757265141,2.53495002024205e-09,4.68324901856571e-07
"IR_8000",360.103089487768,1.22569532030553,0.20569704947767,5.95874040691374,2.54189502652415e-09,4.68324901856571e-07
"IR_7730",184.360798178743,1.33681547723099,0.228294102724471,5.85567240361174,4.75083886604741e-09,8.49561773693184e-07
"IR_3634",61.9876072091087,2.37710442050568,0.410208049977074,5.79487511431951,6.83720398601557e-09,1.18772000671356e-06
"IR_9210",255.229657431583,1.34875564875509,0.234958231271171,5.74040603497079,9.4449816863002e-09,1.59515246257515e-06
"IR_8444",37.5748033151757,3.27885493111103,0.578870951745582,5.66422433397921,1.47691084055072e-08,2.42692375960767e-06
"IR_8259",135.008394588966,1.91733789438701,0.340317639400363,5.6339656615077,1.76112102065071e-08,2.81779363304113e-06
"IR_7222",221.675267065608,1.27150864458056,0.227637368393685,5.58567626024196,2.32792543280845e-08,3.62917605935266e-06
"IR_1587",271.558266498265,1.18882531510865,0.218540007595589,5.43985208103676,5.33248270071032e-08,8.10537370507968e-06
"IR_5428",28.2151874561708,4.39630976227215,0.81130901787072,5.41878577143178,6.00051663343349e-08,8.89832710518917e-06
"IR_5693",245.302876239283,1.25754234891925,0.232527633691991,5.40814151398883,6.36820996301299e-08,9.218742041695e-06
"IR_3872",210.05159741065,1.32819254430083,0.248590418596305,5.34289515984012,9.1473674479055e-08,1.28375309756081e-05
